s	algo1_time	algo2_time	algo3_time
370	0.000000	0.001761	0.000002
371	0.000000	0.001888	0.000001
372	0.000000	0.001721	0.000001
373	0.000000	0.001758	0.000002
374	0.000000	0.002193	0.000002
375	0.000000	0.001761	0.000001
376	0.000000	0.001847	0.000002
377	0.000000	0.002011	0.000002
378	0.000000	0.001799	0.000001
379	0.000000	0.001801	0.000001
380	0.000000	0.001893	0.000002
381	0.000000	0.001749	0.000001
382	0.000000	0.001920	0.000002
383	0.000000	0.001990	0.000002
384	0.000000	0.001783	0.000001
385	0.000000	0.001816	0.000002
386	0.000000	0.002200	0.000002
387	0.000000	0.001772	0.000001
388	0.000000	0.001845	0.000002
389	0.000000	0.001883	0.000002
390	0.000000	0.001812	0.000001
391	0.000000	0.001849	0.000001
392	0.000000	0.002165	0.000002
393	0.000000	0.001798	0.000001
394	0.000000	0.001880	0.000002
395	0.000000	0.001928	0.000002
396	0.000000	0.001814	0.000001
397	0.000000	0.001996	0.000002
398	0.000000	0.002162	0.000002
399	0.000000	0.001859	0.000002
400	0.000000	0.001941	0.000002
401	0.000000	0.002018	0.000002
402	0.000000	0.002010	0.000001
403	0.000000	0.001920	0.000002
404	0.000000	0.001972	0.000002
405	0.000000	0.001878	0.000001
406	0.000000	0.002046	0.000002
407	0.000000	0.002084	0.000002
408	0.000000	0.001877	0.000001
409	0.000000	0.001863	0.000001
410	0.000000	0.002147	0.000002
411	0.000000	0.002073	0.000002
412	0.000000	0.001899	0.000001
413	0.000000	0.001997	0.000002
414	0.000000	0.001905	0.000002
415	0.000000	0.001899	0.000001
416	0.000000	0.002090	0.000002
417	0.000000	0.002019	0.000001
418	0.000000	0.001925	0.000001
419	0.000000	0.002117	0.000002
420	0.000000	0.002117	0.000001
421	0.000000	0.001929	0.000001
422	0.000000	0.002117	0.000002
423	0.000000	0.001945	0.000002
424	0.000000	0.002225	0.000002
425	0.000000	0.002039	0.000001
426	0.000000	0.001966	0.000001
427	0.000000	0.002057	0.000002
428	0.000000	0.002184	0.000002
429	0.000000	0.001951	0.000002
430	0.000000	0.002067	0.000001
431	0.000000	0.002226	0.000002
432	0.000000	0.001976	0.000001
433	0.000000	0.001987	0.000003
434	0.000000	0.002072	0.000001
435	0.000000	0.001986	0.000001
436	0.000000	0.002185	0.000001
437	0.000000	0.002140	0.000002
438	0.000000	0.002009	0.000002
439	0.000000	0.001998	0.000001
440	0.000000	0.002090	0.000002
441	0.000000	0.002210	0.000002
442	0.000000	0.002231	0.000002
443	0.000000	0.002069	0.000001
444	0.000000	0.002325	0.000002
445	0.000000	0.002130	0.000002
446	0.000000	0.002160	0.000002
447	0.000000	0.002094	0.000002
448	0.000000	0.002115	0.000001
449	0.000000	0.002288	0.000001
450	0.000000	0.002126	0.000001
451	0.000000	0.002148	0.000002
452	0.000000	0.002191	0.000001
453	0.000000	0.002212	0.000001
454	0.000000	0.002204	0.000002
455	0.000000	0.002179	0.000001
456	0.000000	0.002157	0.000002
457	0.000000	0.002213	0.000002
458	0.000000	0.002295	0.000002
459	0.000000	0.002645	0.000002
460	0.000000	0.002250	0.000002
461	0.000000	0.002146	0.000002
462	0.000000	0.002184	0.000003
463	0.000000	0.002521	0.000002
464	0.000000	0.002146	0.000002
465	0.000000	0.002405	0.000002
466	0.000000	0.002197	0.000002
467	0.000000	0.002149	0.000001
468	0.000000	0.002232	0.000003
469	0.000000	0.002200	0.000002
470	0.000000	0.002268	0.000002
471	0.000000	0.002254	0.000002
472	0.000000	0.002263	0.000001
473	0.000000	0.002301	0.000002
474	0.000000	0.002188	0.000001
475	0.000000	0.002201	0.000001
476	0.000000	0.002266	0.000003
477	0.000000	0.002271	0.000001
478	0.000000	0.002202	0.000002
479	0.000000	0.002306	0.000001
480	0.000000	0.002344	0.000002
481	0.000000	0.002197	0.000001
482	0.000000	0.002377	0.000002
483	0.000000	0.002200	0.000002
484	0.000000	0.002383	0.000002
485	0.000000	0.002344	0.000002
486	0.000000	0.002228	0.000001
487	0.000000	0.002510	0.000002
488	0.000000	0.002349	0.000002
489	0.000000	0.002262	0.000002
490	0.000000	0.002528	0.000002
491	0.000000	0.002347	0.000003
492	0.000000	0.002714	0.000002
493	0.000000	0.002290	0.000001
494	0.000000	0.002406	0.000002
495	0.000000	0.002579	0.000003
496	0.000000	0.002260	0.000002
497	0.000000	0.002282	0.000001
498	0.000000	0.002390	0.000003
499	0.000000	0.002405	0.000001
500	0.000000	0.002415	0.000002
501	0.000000	0.002561	0.000001
502	0.000000	0.002410	0.000002
503	0.000000	0.002372	0.000002
504	0.000000	0.002525	0.000002
505	0.000000	0.002513	0.000003
506	0.000000	0.002571	0.000002
507	0.000000	0.002381	0.000002
508	0.000000	0.002989	0.000002
509	0.000000	0.002415	0.000002
510	0.000000	0.002498	0.000002
511	0.000000	0.002587	0.000003
512	0.000000	0.002628	0.000002
513	0.000000	0.002575	0.000002
514	0.000000	0.002464	0.000002
515	0.000000	0.002407	0.000001
516	0.000000	0.002367	0.000002
517	0.000000	0.002526	0.000002
518	0.000000	0.002496	0.000002
519	0.000000	0.002586	0.000002
520	0.000000	0.002570	0.000002
521	0.000000	0.002623	0.000002
522	0.000000	0.002423	0.000002
523	0.000000	0.002660	0.000002
524	0.000000	0.002773	0.000002
525	0.000000	0.002440	0.000002
526	0.000000	0.002727	0.000002
527	0.000000	0.002443	0.000002
528	0.000000	0.002615	0.000002
529	0.000000	0.002741	0.000002
530	0.000000	0.002442	0.000002
531	0.000000	0.002568	0.000001
532	0.000000	0.002611	0.000002
533	0.000000	0.002573	0.000001
534	0.000000	0.002518	0.000001
535	0.000000	0.002818	0.000002
536	0.000000	0.002539	0.000002
537	0.000000	0.002451	0.000001
538	0.000000	0.002490	0.000002
539	0.000000	0.002792	0.000002
540	0.000000	0.002567	0.000002
541	0.000000	0.002568	0.000002
542	0.000000	0.002912	0.000002
543	0.000000	0.002500	0.000002
544	0.000000	0.002575	0.000001
545	0.000000	0.002647	0.000002
546	0.000000	0.002609	0.000002
547	0.000000	0.002690	0.000002
548	0.000000	0.002754	0.000002
549	0.000000	0.002651	0.000002
550	0.000000	0.002622	0.000002
551	0.000000	0.002538	0.000002
552	0.000000	0.002967	0.000002
553	0.000000	0.002540	0.000001
554	0.000000	0.002603	0.000001
555	0.000000	0.002754	0.000002
556	0.000000	0.002628	0.000001
557	0.000000	0.002557	0.000002
558	0.000000	0.002757	0.000002
559	0.000000	0.002570	0.000002
560	0.000000	0.002782	0.000003
561	0.000000	0.002602	0.000002
562	0.000000	0.002584	0.000002
563	0.000000	0.002649	0.000002
564	0.000000	0.002570	0.000001
565	0.000000	0.002595	0.000001
566	0.000000	0.002806	0.000002
567	0.000000	0.002585	0.000001
568	0.000000	0.002596	0.000002
569	0.000000	0.002891	0.000002
570	0.000000	0.002602	0.000002
571	0.000000	0.002616	0.000001
572	0.000000	0.002958	0.000002
573	0.000000	0.002627	0.000002
574	0.000000	0.002676	0.000002
575	0.000000	0.002764	0.000002
576	0.000000	0.002810	0.000001
577	0.000000	0.002933	0.000002
578	0.000000	0.002759	0.000002
579	0.000000	0.002769	0.000002
580	0.000000	0.002803	0.000002
581	0.000000	0.002992	0.000002
582	0.000000	0.002758	0.000002
583	0.000000	0.003035	0.000002
584	0.000000	0.002753	0.000002
585	0.000000	0.002845	0.000002
586	0.000000	0.002914	0.000002
587	0.000000	0.002790	0.000002
588	0.000000	0.003093	0.000002
589	0.000000	0.002887	0.000002
590	0.000000	0.002785	0.000002
591	0.000000	0.002870	0.000002
592	0.000000	0.002840	0.000001
593	0.000000	0.003229	0.000002
594	0.000000	0.002766	0.000002
595	0.000000	0.002742	0.000001
