s	algo1_time	algo2_time	algo3_time
277	0.000000	0.002396	0.000001
278	0.000000	0.002789	0.000002
279	0.000000	0.002425	0.000001
280	0.000000	0.002573	0.000002
281	0.000000	0.002442	0.000002
282	0.000000	0.002701	0.000001
283	0.000000	0.002520	0.000001
284	0.000000	0.002589	0.000001
285	0.000000	0.002453	0.000001
286	0.000000	0.002911	0.000002
287	0.000000	0.002444	0.000001
288	0.000000	0.002467	0.000001
289	0.000000	0.002640	0.000001
290	0.000000	0.002697	0.000001
291	0.000000	0.002545	0.000001
292	0.000000	0.002618	0.000001
293	0.000000	0.002497	0.000001
294	0.000000	0.002869	0.000001
295	0.000000	0.002595	0.000001
296	0.000000	0.002516	0.000001
297	0.000000	0.002776	0.000002
298	0.000000	0.002721	0.000001
299	0.000000	0.002589	0.000001
300	0.000000	0.002755	0.000001
301	0.000000	0.002785	0.000001
302	0.000000	0.002698	0.000001
303	0.000000	0.002780	0.000002
304	0.000000	0.002895	0.000002
305	0.000000	0.002677	0.000002
306	0.000000	0.002744	0.000002
307	0.000000	0.002645	0.000001
308	0.000000	0.002819	0.000002
309	0.000000	0.002754	0.000002
310	0.000000	0.002833	0.000001
311	0.000000	0.002794	0.000001
312	0.000000	0.002666	0.000001
313	0.000000	0.002918	0.000001
314	0.000000	0.002700	0.000001
315	0.000000	0.002872	0.000002
316	0.000000	0.002955	0.000002
317	0.000000	0.002813	0.000002
318	0.000000	0.002846	0.000001
319	0.000000	0.002815	0.000002
320	0.000000	0.002903	0.000001
321	0.000000	0.002843	0.000001
322	0.000000	0.003100	0.000001
323	0.000000	0.002837	0.000001
324	0.000000	0.002905	0.000001
325	0.000000	0.003015	0.000001
326	0.000000	0.002964	0.000001
327	0.000000	0.003382	0.000003
328	0.000000	0.003279	0.000002
329	0.000000	0.002897	0.000002
330	0.000000	0.003020	0.000001
331	0.000000	0.003014	0.000002
332	0.000000	0.003016	0.000001
333	0.000000	0.002924	0.000002
334	0.000000	0.003045	0.000002
335	0.000000	0.003048	0.000001
336	0.000000	0.003370	0.000002
337	0.000000	0.002957	0.000001
338	0.000000	0.003309	0.000001
339	0.000000	0.003093	0.000002
340	0.000000	0.002918	0.000001
341	0.000000	0.002971	0.000001
342	0.000000	0.003062	0.000001
343	0.000000	0.002992	0.000001
344	0.000000	0.003073	0.000001
345	0.000000	0.003011	0.000001
346	0.000000	0.003094	0.000001
347	0.000000	0.003082	0.000001
348	0.000000	0.003179	0.000001
349	0.000000	0.003055	0.000001
350	0.000000	0.003129	0.000001
351	0.000000	0.003097	0.000001
352	0.000000	0.003293	0.000002
353	0.000000	0.003211	0.000001
354	0.000000	0.003321	0.000002
355	0.000000	0.003255	0.000001
356	0.000000	0.003077	0.000001
357	0.000000	0.003546	0.000002
358	0.000000	0.003103	0.000001
359	0.000000	0.003473	0.000002
360	0.000000	0.003092	0.000001
361	0.000000	0.003863	0.000002
362	0.000000	0.005808	0.000003
363	0.000000	0.004571	0.000002
364	0.000000	0.004076	0.000003
365	0.000000	0.004515	0.000002
366	0.000000	0.004684	0.000002
367	0.000000	0.004040	0.000002
368	0.000000	0.003212	0.000001
369	0.000000	0.003614	0.000002
370	0.000000	0.003225	0.000001
371	0.000000	0.003457	0.000002
372	0.000000	0.003344	0.000001
373	0.000000	0.003477	0.000002
374	0.000000	0.003340	0.000001
375	0.000000	0.003356	0.000001
376	0.000000	0.003570	0.000001
377	0.000000	0.003415	0.000002
378	0.000000	0.003370	0.000002
379	0.000000	0.003629	0.000002
380	0.000000	0.003321	0.000001
381	0.000000	0.003632	0.000002
382	0.000000	0.003340	0.000001
383	0.000000	0.003466	0.000001
384	0.000000	0.003513	0.000001
385	0.000000	0.003664	0.000001
386	0.000000	0.003366	0.000001
387	0.000000	0.003504	0.000002
388	0.000000	0.003588	0.000001
389	0.000000	0.003558	0.000002
390	0.000000	0.003518	0.000001
391	0.000000	0.003546	0.000002
392	0.000000	0.003666	0.000002
393	0.000000	0.003551	0.000002
394	0.000000	0.003677	0.000002
395	0.000000	0.003576	0.000002
396	0.000000	0.003410	0.000001
397	0.000000	0.003655	0.000001
398	0.000000	0.003560	0.000002
399	0.000000	0.003794	0.000001
400	0.000000	0.003426	0.000001
401	0.000000	0.003673	0.000002
402	0.000000	0.003631	0.000001
403	0.000000	0.003830	0.000002
404	0.000000	0.003633	0.000002
405	0.000000	0.003735	0.000001
406	0.000000	0.003777	0.000001
407	0.000000	0.003879	0.000001
408	0.000000	0.003790	0.000001
409	0.000000	0.003789	0.000002
410	0.000000	0.003542	0.000001
411	0.000000	0.003784	0.000002
412	0.000000	0.003838	0.000002
413	0.000000	0.003809	0.000001
414	0.000000	0.003574	0.000001
415	0.000000	0.003807	0.000002
416	0.000000	0.003779	0.000001
417	0.000000	0.003966	0.000002
418	0.000000	0.003606	0.000001
419	0.000000	0.003855	0.000002
420	0.000000	0.003880	0.000001
421	0.000000	0.003930	0.000001
422	0.000000	0.003791	0.000001
423	0.000000	0.004044	0.000001
424	0.000000	0.004131	0.000002
425	0.000000	0.004128	0.000002
426	0.000000	0.003719	0.000001
427	0.000000	0.004080	0.000001
428	0.000000	0.003723	0.000001
429	0.000000	0.003909	0.000001
430	0.000000	0.003755	0.000002
431	0.000000	0.003947	0.000002
432	0.000000	0.003760	0.000001
433	0.000000	0.003971	0.000002
434	0.000000	0.003798	0.000001
435	0.000000	0.003999	0.000001
436	0.000000	0.003800	0.000001
437	0.000000	0.003993	0.000002
438	0.000000	0.004027	0.000001
439	0.000000	0.004249	0.000002
440	0.000000	0.003852	0.000001
441	0.000000	0.004254	0.000002
442	0.000000	0.004050	0.000002
443	0.000000	0.004241	0.000001
444	0.000000	0.003886	0.000001
445	0.000000	0.004189	0.000002
446	0.000000	0.004001	0.000002
447	0.000000	0.004004	0.000001
448	0.000000	0.003876	0.000002
449	0.000000	0.004212	0.000001
450	0.000000	0.004024	0.000001
451	0.000000	0.004137	0.000001
452	0.000000	0.003918	0.000001
453	0.000000	0.004302	0.000001
454	0.000000	0.003971	0.000001
